Date,Ticker,Close
08/27/2022,PUWLEMUINDXD,47.79
08/28/2022,PUWLEMUINDXD,61.43
08/29/2022,PUWLEMUINDXD,105.7
08/30/2022,PUWLEMUINDXD,127.62
08/31/2022,PUWLEMUINDXD,85.8
09/01/2022,PUWLEMUINDXD,42.39
09/02/2022,PUWLEMUINDXD,36.42
09/03/2022,PUWLEMUINDXD,14.56
09/04/2022,PUWLEMUINDXD,206.11
09/05/2022,PUWLEMUINDXD,46.61
09/06/2022,PUWLEMUINDXD,60.81
09/07/2022,PUWLEMUINDXD,96.27
09/08/2022,PUWLEMUINDXD,38.83
09/09/2022,PUWLEMUINDXD,47.57
09/10/2022,PUWLEMUINDXD,28.75
09/11/2022,PUWLEMUINDXD,29.05
09/12/2022,PUWLEMUINDXD,186.29
09/13/2022,PUWLEMUINDXD,22
09/14/2022,PUWLEMUINDXD,33.52
09/15/2022,PUWLEMUINDXD,181.06
09/16/2022,PUWLEMUINDXD,73.17
09/17/2022,PUWLEMUINDXD,160.71
09/18/2022,PUWLEMUINDXD,145.85
09/19/2022,PUWLEMUINDXD,14.36
09/20/2022,PUWLEMUINDXD,65.92
09/21/2022,PUWLEMUINDXD,106.16
09/22/2022,PUWLEMUINDXD,171.54
09/23/2022,PUWLEMUINDXD,121.27
09/24/2022,PUWLEMUINDXD,28.94
09/25/2022,PUWLEMUINDXD,58.94
09/26/2022,PUWLEMUINDXD,85.1
09/27/2022,PUWLEMUINDXD,145.78
09/28/2022,PUWLEMUINDXD,142.8
09/29/2022,PUWLEMUINDXD,34.05
09/30/2022,PUWLEMUINDXD,102.04
10/01/2022,PUWLEMUINDXD,42.71
10/02/2022,PUWLEMUINDXD,542.1
10/03/2022,PUWLEMUINDXD,171.21
10/04/2022,PUWLEMUINDXD,164.15
10/05/2022,PUWLEMUINDXD,210.92
10/06/2022,PUWLEMUINDXD,77.47
10/07/2022,PUWLEMUINDXD,28.39
10/08/2022,PUWLEMUINDXD,103.93
10/09/2022,PUWLEMUINDXD,197.14
10/10/2022,PUWLEMUINDXD,74.79
10/11/2022,PUWLEMUINDXD,22.91
10/12/2022,PUWLEMUINDXD,50.15
10/13/2022,PUWLEMUINDXD,50.96
10/14/2022,PUWLEMUINDXD,258.67
10/15/2022,PUWLEMUINDXD,72.37
10/16/2022,PUWLEMUINDXD,58.25
10/17/2022,PUWLEMUINDXD,56.99
10/18/2022,PUWLEMUINDXD,43.13
10/19/2022,PUWLEMUINDXD,67.88
10/20/2022,PUWLEMUINDXD,83.43
10/21/2022,PUWLEMUINDXD,9.46
10/22/2022,PUWLEMUINDXD,14.74
10/23/2022,PUWLEMUINDXD,99.57
10/24/2022,PUWLEMUINDXD,157.87
10/25/2022,PUWLEMUINDXD,122.36
10/26/2022,PUWLEMUINDXD,133.09
10/27/2022,PUWLEMUINDXD,196.18
10/28/2022,PUWLEMUINDXD,137.82
10/29/2022,PUWLEMUINDXD,14.45
10/30/2022,PUWLEMUINDXD,86.98
10/31/2022,PUWLEMUINDXD,213.24
11/01/2022,PUWLEMUINDXD,185.79
11/02/2022,PUWLEMUINDXD,41.91
11/03/2022,PUWLEMUINDXD,110.46
11/04/2022,PUWLEMUINDXD,46.27
11/05/2022,PUWLEMUINDXD,29.3
11/06/2022,PUWLEMUINDXD,160.95
11/07/2022,PUWLEMUINDXD,169.53
11/08/2022,PUWLEMUINDXD,112.58
11/09/2022,PUWLEMUINDXD,134.89
11/10/2022,PUWLEMUINDXD,97.71
11/11/2022,PUWLEMUINDXD,39.43
11/12/2022,PUWLEMUINDXD,61.99
11/13/2022,PUWLEMUINDXD,257.88
11/14/2022,PUWLEMUINDXD,264.1
11/15/2022,PUWLEMUINDXD,69
11/16/2022,PUWLEMUINDXD,242.28
