,date,pcr
406,2008-06-17 00:00:00,0.75
407,2008-06-18 00:00:00,0.86
408,2008-06-19 00:00:00,0.76
409,2008-06-20 00:00:00,0.92
410,2008-06-23 00:00:00,0.65
411,2008-06-24 00:00:00,0.7
412,2008-06-25 00:00:00,0.71
413,2008-06-26 00:00:00,0.79
414,2008-06-27 00:00:00,0.81
415,2008-06-30 00:00:00,0.77
416,2008-07-01 00:00:00,0.8
417,2008-07-02 00:00:00,0.71
418,2008-07-03 00:00:00,0.85
419,2008-07-07 00:00:00,0.9
420,2008-07-08 00:00:00,0.74
421,2008-07-09 00:00:00,0.84
422,2008-07-10 00:00:00,0.93
423,2008-07-11 00:00:00,0.91
424,2008-07-14 00:00:00,0.93
425,2008-07-15 00:00:00,0.94
426,2008-07-16 00:00:00,0.78
427,2008-07-17 00:00:00,0.74
428,2008-07-18 00:00:00,0.72
429,2008-07-21 00:00:00,0.7
430,2008-07-22 00:00:00,0.77
431,2008-07-23 00:00:00,0.65
432,2008-07-24 00:00:00,0.82
433,2008-07-25 00:00:00,0.73
434,2008-07-28 00:00:00,0.8
435,2008-07-29 00:00:00,0.68
436,2008-07-30 00:00:00,0.72
437,2008-07-31 00:00:00,0.73
438,2008-08-01 00:00:00,0.86
439,2008-08-04 00:00:00,0.72
440,2008-08-05 00:00:00,0.63
441,2008-08-06 00:00:00,0.73
442,2008-08-07 00:00:00,0.83
443,2008-08-08 00:00:00,0.59
444,2008-08-11 00:00:00,0.68
445,2008-08-12 00:00:00,0.73
446,2008-08-13 00:00:00,0.72
447,2008-08-14 00:00:00,0.7
448,2008-08-15 00:00:00,0.65
449,2008-08-18 00:00:00,0.76
450,2008-08-19 00:00:00,0.88
451,2008-08-20 00:00:00,0.7
452,2008-08-21 00:00:00,0.65
453,2008-08-22 00:00:00,0.59
454,2008-08-25 00:00:00,0.71
455,2008-08-26 00:00:00,0.8
456,2008-08-27 00:00:00,0.69
457,2008-08-28 00:00:00,0.72
458,2008-08-29 00:00:00,0.71
459,2008-09-02 00:00:00,0.69
460,2008-09-03 00:00:00,0.68
461,2008-09-04 00:00:00,0.79
462,2008-09-05 00:00:00,0.78
463,2008-09-08 00:00:00,0.77
464,2008-09-09 00:00:00,1.0
465,2008-09-10 00:00:00,0.85
466,2008-09-11 00:00:00,0.83
467,2008-09-12 00:00:00,0.9
468,2008-09-15 00:00:00,1.18
469,2008-09-16 00:00:00,0.94
470,2008-09-17 00:00:00,0.98
471,2008-09-18 00:00:00,0.81
472,2008-09-19 00:00:00,0.51
473,2008-09-22 00:00:00,0.73
474,2008-09-23 00:00:00,0.76
475,2008-09-24 00:00:00,0.71
476,2008-09-25 00:00:00,0.63
477,2008-09-26 00:00:00,0.82
478,2008-09-29 00:00:00,0.79
479,2008-09-30 00:00:00,0.73
480,2008-10-01 00:00:00,0.79
481,2008-10-02 00:00:00,0.92
482,2008-10-03 00:00:00,0.73
483,2008-10-06 00:00:00,0.96
484,2008-10-07 00:00:00,0.95
485,2008-10-08 00:00:00,0.9
486,2008-10-09 00:00:00,1.06
487,2008-10-10 00:00:00,1.02
488,2008-10-13 00:00:00,0.69
489,2008-10-14 00:00:00,0.81
490,2008-10-15 00:00:00,0.91
491,2008-10-16 00:00:00,0.94
492,2008-10-17 00:00:00,0.82
493,2008-10-20 00:00:00,0.63
494,2008-10-21 00:00:00,0.77
495,2008-10-22 00:00:00,0.9
496,2008-10-23 00:00:00,0.92
497,2008-10-24 00:00:00,0.98
498,2008-10-27 00:00:00,0.82
499,2008-10-28 00:00:00,0.68
500,2008-10-29 00:00:00,0.59
501,2008-10-30 00:00:00,0.69
